"","short","long","vartest","ttest","stockcode"
"2645",15,25,0.552557203262321,2.57528759909907e-05,"600000.ss"
"3717",21,32,0.183640598937793,0.0102278412268226,"600004.ss"
"2091",12,17,3.36830168792833e-10,0.0253169110986006,"600005.ss"
"3725",21,40,0.920144130264404,0.000445477346756739,"600006.ss"
"5250",30,35,0.280108079211861,5.76450054332155e-09,"600007.ss"
"5083",29,34,0.0156845293305825,0.000884712681670968,"600008.ss"
"5333",30,118,0.948019725265886,0.00140024883042839,"600009.ss"
"52501",30,35,0.00896487482185707,0.000777778715338455,"600010.ss"
"3886",22,27,0.892826254075166,0.00115378095818817,"600011.ss"
"5344",30,129,0.00259138899886708,0.000264747130744463,"600012.ss"
"3711",21,26,0.0282859707424277,4.83254829227049e-05,"600015.ss"
"4063",23,31,0.0202184373203902,0.0033839685667975,"600016.ss"
"1350",8,18,0.112035080916725,0.000337634024417316,"600017.ss"
"774",4,200,1.02117525546674e-08,9.8702787920077e-07,"600018.ss"
"196",2,7,0.999178611794526,0.0055341044960025,"600019.ss"
"4915",28,33,8.89354325644285e-05,0.000245379024257861,"600020.ss"
"5251",30,36,0.496099386244174,0.0063471692606912,"600021.ss"
"848",5,83,0.115033325053131,0.00308533795345779,"600022.ss"
"3012",17,33,0.0301137267390955,1.55600423693292e-05,"600023.ss"
"883",5,118,0.35471269998812,0.000107622325509278,"600026.ss"
"3714",21,29,7.2012752938555e-07,0.00546830286792067,"600027.ss"
"20911",12,17,0.000859868660167518,0.000164010102817719,"600028.ss"
"120",1,125,2.54665654510928e-06,0.00298138052949405,"600029.ss"
"5286",30,71,6.61375104553142e-12,1.14568962564088e-07,"600030.ss"
"50831",29,34,0.0129327650904296,0.0121646375798327,"600031.ss"
"5266",30,51,0.00170444970490818,0.00147154398330476,"600033.ss"
"2639",14,200,0.00789845493455763,0.000492574329608867,"600035.ss"
"3186",18,29,0.6250956552025,0.000293949825132778,"600036.ss"
"49151",28,33,0.000114379179735356,0.0755652507431267,"600037.ss"
"52502",30,35,0.00487645567558324,3.22308914749177e-06,"600038.ss"
"574",3,192,0.871329676630094,8.5665131418904e-05,"600039.ss"
"4060",23,28,3.21206676298965e-15,0.000288362334923222,"600048.ss"
"3180",18,23,0.441600100349645,0.0811295923284644,"600050.ss"
"775",5,10,0.465351187873896,0.00560409323456808,"600051.ss"
"40631",23,31,0.000317613688403035,0.00894730755246385,"600052.ss"
"1345",8,13,3.95239396766556e-14,1.61042007912057e-05,"600053.ss"
"38861",22,27,0.204652879188273,0.000205702849516564,"600054.ss"
"5339",30,124,0.0108779338224591,0.0285617492643176,"600055.ss"
"40601",23,28,1.3248302010993e-08,2.14357342705704e-06,"600056.ss"
"4836",27,122,0.000346370176300034,6.99475430087933e-06,"600057.ss"
"4233",24,29,0.0292440183912916,1.35206952283724e-06,"600058.ss"
"57",1,62,0.986135253344542,2.59233342013116e-05,"600059.ss"
"64",1,69,0.761549856877207,0.000852140892375366,"600060.ss"
"5347",30,132,0.137802322721737,4.42639101920208e-05,"600061.ss"
"776",5,11,0.200627428855115,0.0014789703919945,"600062.ss"
"5332",30,117,0.0513490694512017,0.00424530682275328,"600063.ss"
"7751",5,10,0.000177174281157823,0.00208572476211411,"600064.ss"
"3536",20,26,0.107767949515346,0.0343236062026838,"600066.ss"
"52503",30,35,0.804840853101224,0.00139717540088284,"600067.ss"
"20912",12,17,0.51603928512188,0.000718362671674577,"600068.ss"
"12",1,17,0.612567632000045,5.06598765826548e-06,"600069.ss"
"5249",29,200,6.39667124298535e-05,0.00224353216076082,"600070.ss"
"53",1,6,2.51115036608869e-08,0.000986474222978124,"600071.ss"
"1906",11,16,0.0750366776108937,0.0020071893973876,"600072.ss"
"5351",30,136,0.968486811545457,0.000298566049810749,"600073.ss"
"5415",30,200,0.18210902190196,0.031427614549217,"600074.ss"
"49152",28,33,0.0367225735089446,0.0106710769208813,"600075.ss"
"4745",26,200,7.35215410254739e-07,2.24521953530711e-05,"600076.ss"
"1905",10,200,0.144734106723236,3.11255365765766e-06,"600077.ss"
"54151",30,200,0.720420431185947,1.41896106622741e-06,"600078.ss"
"54152",30,200,0.00321416948674663,0.00018408442824667,"600079.ss"
"4747",27,33,1.87760126393117e-05,6.78070399522393e-06,"600080.ss"
"881",5,116,0.00011549371260959,2.43950766750733e-09,"600081.ss"
"52504",30,35,0.0253466238580948,0.0268540274986936,"600082.ss"
"1607",9,88,9.63045470874537e-08,3.12816287479381e-06,"600083.ss"
"5265",30,50,4.03728933997227e-10,0.00708044825518016,"600084.ss"
"5271",30,56,0.0427955934830945,0.000860755130822703,"600085.ss"
"588",4,14,0.0239272397866861,0.00401188736881947,"600086.ss"
"4916",28,34,0.0857982677354726,3.05208762538132e-06,"600088.ss"
"3001",17,22,8.88178419700125e-16,0.0218683993430588,"600089.ss"
"3995",22,136,0.00116705953719832,1.07209294956591e-05,"600090.ss"
